group,label,env,mode,target_source,place_source,primary_metric,success_count,n,success_rate,ci_low,ci_high,failed_runs,target_available,grasp_attempted,pick_success_rate,place_attempted,place_success_rate,task_success_rate,main_failure,claim_boundary,artifact_sources
noisy_oracle,PickCube pick noise 1cm,PickCube-v1,noisy pick,oracle_object_pose + 1cm pick noise,none,pick,206,250,0.824,0.7719933833943993,0.8662002385325525,0,1.0,1.0,0.824,0.0,0.0,0.0,grasp_not_confirmed,privileged sensitivity probe,outputs\h200_60071_noisy_oracle_pick_pickcube_1cm_seed0_49\benchmark_summary.json;outputs\h200_60071_ras_sunday_queue_20260509\noisy_pickcube_pick_1cm\benchmark_summary.json
noisy_oracle,PickCube pick noise 2cm,PickCube-v1,noisy pick,oracle_object_pose + 2cm pick noise,none,pick,122,250,0.488,0.42669031031533017,0.5496728888725603,0,1.0,1.0,0.488,0.0,0.0,0.0,grasp_not_confirmed,privileged sensitivity probe,outputs\h200_60071_noisy_oracle_pick_pickcube_2cm_seed0_49\benchmark_summary.json;outputs\h200_60071_ras_sunday_queue_20260509\noisy_pickcube_pick_2cm\benchmark_summary.json
noisy_oracle,PickCube pick noise 5cm,PickCube-v1,noisy pick,oracle_object_pose + 5cm pick noise,none,pick,28,250,0.112,0.07863430779240635,0.1571091326160586,0,1.0,1.0,0.112,0.0,0.0,0.0,grasp_not_confirmed,privileged sensitivity probe,outputs\h200_60071_noisy_oracle_pick_pickcube_5cm_seed0_49\benchmark_summary.json;outputs\h200_60071_ras_sunday_queue_20260509\noisy_pickcube_pick_5cm\benchmark_summary.json
noisy_oracle,StackCube pick noise 1cm,StackCube-v1,noisy pick,oracle_object_pose + 1cm pick noise,none,pick,185,250,0.74,0.6822862349629212,0.7904497812792654,0,1.0,1.0,0.74,0.0,0.0,0.0,grasp_not_confirmed,privileged sensitivity probe,outputs\h200_60071_noisy_oracle_pick_stackcube_1cm_seed0_49\benchmark_summary.json;outputs\h200_60071_ras_sunday_queue_20260509\noisy_stackcube_pick_1cm\benchmark_summary.json
noisy_oracle,StackCube pick noise 2cm,StackCube-v1,noisy pick,oracle_object_pose + 2cm pick noise,none,pick,101,250,0.404,0.34507095342004057,0.46583464008308473,0,1.0,1.0,0.404,0.0,0.0,0.0,grasp_not_confirmed,privileged sensitivity probe,outputs\h200_60071_noisy_oracle_pick_stackcube_2cm_seed0_49\benchmark_summary.json;outputs\h200_60071_ras_sunday_queue_20260509\noisy_stackcube_pick_2cm\benchmark_summary.json
noisy_oracle,StackCube pick noise 5cm,StackCube-v1,noisy pick,oracle_object_pose + 5cm pick noise,none,pick,17,250,0.068,0.04288591857836033,0.10618925218570377,0,1.0,1.0,0.068,0.0,0.0,0.0,grasp_not_confirmed,privileged sensitivity probe,outputs\h200_60071_noisy_oracle_pick_stackcube_5cm_seed0_49\benchmark_summary.json;outputs\h200_60071_ras_sunday_queue_20260509\noisy_stackcube_pick_5cm\benchmark_summary.json
noisy_oracle,StackCube place noise 1cm,StackCube-v1,noisy place,oracle_object_pose,oracle_cubeB_pose + 1cm place noise,task,26,50,0.52,0.38511744890044614,0.6520286471342196,0,1.0,1.0,0.88,1.0,0.52,0.52,place_not_confirmed,privileged sensitivity probe,outputs\h200_60071_noisy_oracle_place_stackcube_1cm_seed0_49\benchmark_summary.json
noisy_oracle,StackCube place noise 2cm,StackCube-v1,noisy place,oracle_object_pose,oracle_cubeB_pose + 2cm place noise,task,78,250,0.312,0.25777888902447976,0.3719112315858073,0,1.0,1.0,0.924,1.0,0.312,0.312,place_not_confirmed,privileged sensitivity probe,outputs\h200_60071_noisy_oracle_place_stackcube_2cm_seed0_49\benchmark_summary.json;outputs\h200_60071_ras_sunday_queue_20260509\noisy_stackcube_place_2cm\benchmark_summary.json
noisy_oracle,StackCube place noise 5cm,StackCube-v1,noisy place,oracle_object_pose,oracle_cubeB_pose + 5cm place noise,task,10,250,0.04,0.021869911954542545,0.07205272358126646,0,1.0,1.0,0.924,1.0,0.04,0.04,place_not_confirmed,privileged sensitivity probe,outputs\h200_60071_noisy_oracle_place_stackcube_5cm_seed0_49\benchmark_summary.json;outputs\h200_60071_ras_sunday_queue_20260509\noisy_stackcube_place_5cm\benchmark_summary.json
